Date,Category,Amount,Description
2025-02-01,Food,12.50,Lunch at restaurant
2025-02-01,Transport,5.00,Bus fare
2025-02-02,Groceries,45.30,Weekly groceries shopping
2025-02-03,Entertainment,15.00,Movie ticket
2025-02-04,Food,8.75,Coffee and snack
2025-02-05,Rent,800.00,Monthly apartment rent
2025-02-06,Utilities,120.00,Electricity and water bill
2025-02-07,Transport,10.00,Gas for car
2025-02-08,Health,60.00,Doctor appointment
2025-02-09,Entertainment,25.00,Concert ticket
2025-02-10,Food,20.00,Dinner at restaurant
2025-02-11,Groceries,50.75,Grocery shopping
2025-02-12,Subscriptions,12.99,Streaming service
2025-02-13,Transport,7.50,Taxi ride
2025-02-14,Clothing,45.00,New shoes
2025-02-15,Food,14.50,Lunch
2025-02-16,Health,30.00,Gym membership
2025-02-17,Groceries,55.00,Supermarket shopping
2025-02-18,Food,9.25,Fast food meal
2025-02-19,Education,120.00,Online course